id,first_seen,published,title,price,year,km,hp,fuel,label,province,city,seller_type,seller_name,seller_rating,tipo,url
71020783,2026-08-23 09:26 UTC,2026-07-08,TOYOTA Corolla 140H Style Edition Touring Sport,28490,2025,30000,140,Híbrido,ECO,Barcelona,Vic,Profesional,Casacuberta Automobils,3.4,Ocasión,https://www.coches.net/toyota-corolla-140h-style-edition-touring-sport-5p-electrico-hibrido-2023-en-barcelona-71020783-covo.aspx
71165611,2026-08-23 09:26 UTC,2026-07-27,TOYOTA Corolla 2.0 180H ADVANCE LUXURY TOURING SPORT,19950,2022,124500,180,Híbrido,ECO,Madrid,Rozas de Madrid (las),Profesional,Renting distribución Europa (RDE),3.8,Ocasión,https://www.coches.net/toyota-corolla-20-180h-advance-luxury-touring-sport-5p-electrico-hibrido-2022-en-madrid-71165611-covo.aspx
71105274,2026-08-23 09:26 UTC,2026-07-17,TOYOTA Corolla 140H Style Touring Sport,29995,2024,34842,140,Híbrido,ECO,Valencia,Valencia,Profesional,Toyota Valencia,4,Ocasión,https://www.coches.net/toyota-corolla-140h-style-touring-sport-5p-electrico-hibrido-2024-en-valencia-71105274-covo.aspx
71217828,2026-08-23 09:26 UTC,2026-08-03,TOYOTA Corolla 140H Style Touring Sport,21480,2023,72898,140,Híbrido,ECO,Sevilla,Alcalá de Guadaira,Profesional,Motorevo Sevilla,4.2,Ocasión,https://www.coches.net/toyota-corolla-140h-style-touring-sport-5p-electrico-hibrido-2023-en-sevilla-71217828-covo.aspx
71208698,2026-08-23 09:26 UTC,2026-08-01,TOYOTA Corolla 140H Style Touring Sport,21990,2023,61033,140,Híbrido,ECO,Sevilla,Alcalá de Guadaira,Profesional,Motorevo Sevilla,4.2,Ocasión,https://www.coches.net/toyota-corolla-140h-style-touring-sport-5p-electrico-hibrido-2023-en-sevilla-71208698-covo.aspx
71217821,2026-08-23 09:26 UTC,2026-08-03,TOYOTA Corolla 140H Style Touring Sport,21480,2023,72898,140,Híbrido,ECO,Madrid,Alcalá de Henares,Profesional,Motorevo Madrid,4.2,Ocasión,https://www.coches.net/toyota-corolla-140h-style-touring-sport-5p-electrico-hibrido-2023-en-madrid-71217821-covo.aspx
71208681,2026-08-23 09:26 UTC,2026-08-01,TOYOTA Corolla 140H Style Touring Sport,21990,2023,61033,140,Híbrido,ECO,Madrid,Alcalá de Henares,Profesional,Motorevo Madrid,4.2,Ocasión,https://www.coches.net/toyota-corolla-140h-style-touring-sport-5p-electrico-hibrido-2023-en-madrid-71208681-covo.aspx
71108893,2026-08-23 09:26 UTC,2026-07-17,TOYOTA Corolla 2.0 180H STYLE ECVT TOURING SPORT,19650,2022,128000,180,Híbrido,ECO,Madrid,Casarrubios del Monte,Profesional,Auto Back Navalcarnero,4.1,Ocasión,https://www.coches.net/toyota-corolla-20-180h-style-ecvt-touring-sport-5p-electrico-hibrido-2022-en-madrid-71108893-covo.aspx
71201409,2026-08-23 09:26 UTC,2026-07-31,TOYOTA Corolla 140H Business Touring Sport,19500,2023,159000,140,Híbrido,ECO,Madrid,Torrejón de Ardoz,Profesional,MID Car,4.6,Ocasión,https://www.coches.net/toyota-corolla-140h-business-touring-sport-5p-electrico-hibrido-2024-en-madrid-71201409-covo.aspx
71154743,2026-08-23 09:26 UTC,2026-07-24,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING SPORT,22499,2022,158000,180,Híbrido,ECO,Madrid,Madrid Capital,Profesional,UTA CARS,4.4,Ocasión,https://www.coches.net/toyota-corolla-20-180h-grsport-ecvt-touring-sport-5p-electrico-hibrido-2022-en-madrid-71154743-covo.aspx
71130490,2026-08-23 09:26 UTC,2026-07-21,TOYOTA Corolla 140H Active Plus Touring Sport,23800,2023,73000,140,Híbrido,ECO,Vizcaya,Errigoiti,Profesional,Autos Sala Cars,4.3,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2024-en-vizcaya-71130490-covo.aspx
71343559,2026-08-23 09:26 UTC,2026-08-22,TOYOTA Corolla 140H Active Plus Touring Sport,27900,2025,9716,140,Híbrido,ECO,León,Santovenia de la Valdoncina,Profesional,Toyota Leon,4.2,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2024-en-leon-71343559-covo.aspx
71202129,2026-08-23 09:26 UTC,2026-07-31,TOYOTA Corolla 140H Active Plus Touring Sport,28995,2025,6025,140,Híbrido,ECO,Valencia,Valencia,Profesional,Toyota Valencia,4,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2024-en-valencia-71202129-covo.aspx
71156824,2026-08-23 09:26 UTC,2026-07-25,TOYOTA Corolla 200H GRSport Touring Sport,31500,2024,27000,196,Híbrido,ECO,Madrid,Madrid Capital,Profesional,Automóviles Rodríguez,4.7,Ocasión,https://www.coches.net/toyota-corolla-200h-grsport-touring-sport-5p-electrico-hibrido-2024-en-madrid-71156824-covo.aspx
71322242,2026-08-23 09:26 UTC,2026-08-19,TOYOTA Corolla 200H Style Touring Sport,22699,2022,55114,196,Híbrido,ECO,Sevilla,,Profesional,Autohero Sevilla,4.5,Ocasión,https://www.coches.net/toyota-corolla-200h-style-touring-sport-5p-electrico-hibrido-2023-en-sevilla-71322242-covo.aspx
71322059,2026-08-23 09:26 UTC,2026-08-19,TOYOTA Corolla 200H Style Touring Sport,22699,2022,55114,196,Híbrido,ECO,Madrid,Madrid Capital,Profesional,Autohero Center Madrid,4.3,Ocasión,https://www.coches.net/toyota-corolla-200h-style-touring-sport-5p-electrico-hibrido-2023-en-madrid-71322059-covo.aspx
71328365,2026-08-23 09:26 UTC,2026-08-20,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING SPORT,27990,2022,37747,180,Híbrido,ECO,Valencia,Albal,Profesional,Clicars Valencia,4.7,Ocasión,https://www.coches.net/toyota-corolla-20-180h-grsport-ecvt-touring-sport-5p-electrico-hibrido-2022-en-valencia-71328365-covo.aspx
71328240,2026-08-23 09:26 UTC,2026-08-20,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING SPORT,27990,2022,37747,180,Híbrido,ECO,Madrid,Madrid Capital,Profesional,Clicars,4,Ocasión,https://www.coches.net/toyota-corolla-20-180h-grsport-ecvt-touring-sport-5p-electrico-hibrido-2022-en-madrid-71328240-covo.aspx
71328450,2026-08-23 09:26 UTC,2026-08-20,TOYOTA Corolla 2.0 180H GRSPORT ECVT TOURING SPORT,27990,2022,37747,180,Híbrido,ECO,Málaga,Málaga Capital,Profesional,Clicars Málaga,4.3,Ocasión,https://www.coches.net/toyota-corolla-20-180h-grsport-ecvt-touring-sport-5p-electrico-hibrido-2022-en-malaga-71328450-covo.aspx
71338702,2026-08-23 09:26 UTC,2026-08-21,TOYOTA Corolla 140H Active Plus Touring Sport,19800,2023,112000,140,Híbrido,ECO,Barcelona,L'Hospitalet de Llobregat,Profesional,Aistren Group S.L.,4.4,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2023-en-barcelona-71338702-covo.aspx
71294990,2026-08-23 09:26 UTC,2026-08-14,TOYOTA Corolla 140H Active Plus Touring Sport,27000,2026,1319,140,Híbrido,ECO,Madrid,Madrid Capital,Profesional,"Grupo Gamboa KM0, Demos y Dirección",,Km0/Demo,https://www.coches.net/km-0/toyota/corolla/madrid/140h-active-plus-touring-sport-electrico-hibrido-de-km0-71294990-kovn.aspx
71284486,2026-08-23 09:26 UTC,2026-08-13,TOYOTA Corolla 200H Style EditionTouring Sport,36990,2025,12,178,Híbrido,ECO,Madrid,Madrid Capital,Profesional,Toyota Ocasión Supra Gamboa,,Ocasión,https://www.coches.net/toyota-corolla-200h-style-editiontouring-sport-5p-electrico-hibrido-2025-en-madrid-71284486-covo.aspx
71329696,2026-08-23 09:26 UTC,2026-08-20,TOYOTA Corolla 140H Active Plus Touring Sport,19990,2023,135407,140,Híbrido,,Barcelona,Terrassa,Profesional,Toyota Ocasión - CSM Grup,4.1,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2023-en-barcelona-71329696-covo.aspx
71284449,2026-08-23 09:26 UTC,2026-08-13,TOYOTA Corolla 140H Active Plus Touring Sport,28390,2026,2243,140,Híbrido,ECO,Madrid,Madrid Capital,Profesional,Toyota Ocasión Supra Gamboa,,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2025-en-madrid-71284449-covo.aspx
71300429,2026-08-23 09:26 UTC,2026-08-16,TOYOTA Corolla 2.0 180H ADVANCE LUXURY TOURING SPORT,23999,2022,75664,180,Híbrido,ECO,Sevilla,,Profesional,Autohero Sevilla,4.5,Ocasión,https://www.coches.net/toyota-corolla-20-180h-advance-luxury-touring-sport-5p-electrico-hibrido-2022-en-sevilla-71300429-covo.aspx
71336997,2026-08-23 09:26 UTC,2026-08-21,TOYOTA Corolla 140H Active Plus Touring Sport,21990,2023,113740,140,Híbrido,ECO,Palencia,Palencia,Profesional,Toyota Palencia,4.8,Ocasión,https://www.coches.net/toyota-corolla-140h-active-plus-touring-sport-5p-electrico-hibrido-2023-en-palencia-71336997-covo.aspx
71272020,2026-08-23 09:26 UTC,2026-08-11,TOYOTA Corolla 200H Style EditionTouring Sport,32650,2025,4077,196,Híbrido,ECO,Madrid,Madrid Capital,Profesional,"Grupo Gamboa KM0, Demos y Dirección",,Km0/Demo,https://www.coches.net/km-0/toyota/corolla/madrid/200h-style-editiontouring-sport-electrico-hibrido-de-km0-71272020-kovn.aspx
71272007,2026-08-23 09:26 UTC,2026-08-11,TOYOTA Corolla 200H Style EditionTouring Sport,35990,2025,12,196,Híbrido,ECO,Madrid,Madrid Capital,Profesional,"Grupo Gamboa KM0, Demos y Dirección",,Km0/Demo,https://www.coches.net/km-0/toyota/corolla/madrid/200h-style-editiontouring-sport-electrico-hibrido-de-km0-71272007-kovn.aspx
