fecha,anuncios,nuevos,ia_ok,aviso
2026-08-23 22:04,65,0,1,
2026-08-24 01:01,65,0,1,
2026-08-24 07:34,65,0,1,
2026-08-24 09:10,66,1,1,
2026-08-24 11:53,67,1,1,
2026-08-24 12:10,67,0,1,
2026-08-24 15:21,68,1,1,
2026-08-24 16:48,68,3,0,
2026-08-24 17:12,68,3,0,
2026-08-24 18:52,68,3,0,
2026-08-24 19:08,68,3,0,
2026-08-24 20:27,68,3,0,
2026-08-24 21:32,68,3,0,
2026-08-25 07:22,68,0,1,
2026-08-25 08:21,69,1,1,
2026-08-25 10:52,70,2,1,
2026-08-25 11:30,70,2,0,
2026-08-25 12:54,71,3,1,
2026-08-25 13:53,72,4,1,
2026-08-25 23:38,74,6,1,
2026-08-26 07:22,74,0,1,
2026-08-26 07:26,74,0,1,
2026-08-26 09:12,74,0,1,
2026-08-26 18:10,74,1,1,
2026-08-26 19:34,74,1,0,
2026-08-26 20:23,74,1,0,
2026-08-26 20:48,74,1,0,
2026-08-26 21:38,74,1,0,
2026-08-26 23:34,74,1,0,
2026-08-27 00:29,74,0,1,
2026-08-27 17:42,75,3,1,
2026-08-28 02:13,75,0,1,
2026-08-28 13:58,78,3,1,
2026-08-28 14:38,78,3,0,
2026-08-28 14:44,78,3,0,
2026-08-28 14:50,78,3,0,
2026-08-28 14:55,78,7,1,
2026-08-28 16:40,80,9,1,
2026-08-28 17:51,81,10,1,
2026-08-28 18:51,81,10,0,
2026-08-28 21:43,81,10,0,
2026-08-29 01:48,81,0,1,
2026-08-29 12:45,83,2,1,
2026-08-29 21:02,85,4,1,
2026-08-30 10:46,85,0,1,
2026-08-30 11:09,85,0,1,
2026-08-30 11:18,85,0,1,
2026-08-30 12:03,85,0,1,
2026-08-30 12:53,85,0,1,
2026-08-30 13:01,85,0,1,
