ref,id
T001,71007013
T002,71108893
T003,71201409
T004,71165611
T005,71338702
T006,71329696
T007,71217828
T008,71208698
T009,71336997
T010,71030350
T011,71154743
T012,71025639
T013,71322242
T014,71043593
T015,70897576
T016,71244559
T017,71130490
T018,71283626
T019,70872887
T020,71300429
T021,71117052
T022,71332601
T023,71351651
T024,71274660
T025,71232050
T026,71317176
T027,70656258
T028,71261046
T029,71262383
T030,71191386
T031,71350599
T032,71294990
T033,71094495
T034,71267357
T035,71278920
T036,71325480
T037,62113803
T038,71343559
T039,71286581
T040,71312966
T041,71328365
T042,71069969
T043,70696331
T044,71031937
T045,71284449
T046,71265344
T047,71307897
T048,71020783
T049,71269459
T050,71270925
T051,71202129
T052,61306049
T053,71270282
T054,71105274
T055,71228610
T056,71146672
T057,70625414
T058,71216586
T059,71214208
T060,71156824
T061,71343785
T062,71272020
T063,62500711
T064,71315401
T065,71263413
T066,71272007
T067,71284486
T068,70058302
T069,71358061
T070,71359571
T071,70656697
T072,71361533
T073,71361893
T074,71362707
T075,71371474
T076,71378542
T077,71383552
T078,71381990
T079,71382248
T080,71208681
T081,70222483
T082,71374659
T083,70222445
T084,71096894
T085,71375169
T086,71096991
T087,71007003
T088,71167371
T089,71217821
T090,71245755
T091,71219901
T092,71219787
T093,71322059
T094,71374062
T095,71328240
T096,71328450
T097,71386598
T098,71386247
T099,71075134
T100,71081262
T101,71084219
T102,71390806
T103,71087877
T104,71100636
T105,71396996
T106,71398412
T107,71402695
T108,71107936
T109,71407904
T110,71408535
T111,71410317
T112,71416180
T113,71417829
T114,71417119
T115,71416321
T116,71415745
T117,71420761
T118,71426395
T119,71409740
T120,71436372
T121,71435732
T122,71435825
T123,71118556
